"V1","V2"
-119.1078,35.3311
-118.2947,34.1689
-118.4275,34.4268
-122.9778,39.1682
-123.789,39.361
-122.5801,38.0096
-121.7284,36.7764
-121.5766,36.3539
-117.6199,33.7455
-117.6442,33.5954
-117.6264,33.6645
-120.3837,39.3021
-117.4276,33.7307
-117.5178,33.9059
-117.1404,33.5838
-117.1878,33.6081
-121.3611,38.635
-121.34,38.5753
-119.7995,34.4526
-122.0752,37.3848
-122.0042,37.3647
-122.0227,37.2748
-121.9608,37.3185
-121.9875,37.156
-121.703,37.1725
-117.1316,33.1472
-117.2663,33.27
-116.9254,32.8112
-116.987,32.7907
-117.0044,32.9956
-117.2397,32.8254
-116.9753,32.6381
-117.2712,33.0267
-117.0519,32.6168
-117.2501,32.8257
-117.0666,33.0184
-116.9593,32.7698
-117.0508,32.6044
-117.0586,32.8168
-117.0466,33.0261
-117.2447,32.7348
-116.9197,32.7724
-116.9925,33.0563
-117.1062,33.0139
-117.1626,32.9173
-117.3307,33.1658
-116.9788,32.7698
-117.2419,33.0794
-116.9103,32.7797
-117.0409,33.3108
-116.6175,32.8651
-116.3478,32.6447
-117.0281,32.7597
-117.2456,32.7502
-117.1993,32.8257
-117.2278,33.1227
-121.0079,38.0627
-121.3044,38.136
-121.3665,38.0011
-121.923,41.9633
-122.4825,37.6121
-122.2587,37.5488
-122.2637,37.3754
-122.3012,37.5684
-122.9035,38.3753
-122.7113,38.3392
-122.5343,38.3778
-122.9628,38.7839
-122.7333,38.4699
-116.3178,34.0973
-117.3404,34.3725
-117.381,34.1442
-117.5977,34.1223
-117.3502,34.195
-120.7518,37.7892
-118.8858,36.4584
-118.8984,34.1772
-119.1103,34.746
-121.2801,39.4518
-121.594,39.2241
-121.7855,38.5523
-121.8522,38.5613
-104.7909,39.9752
-104.9554,39.9223
-104.8543,39.7517
-104.8936,39.9674
-104.8237,39.6526
-102.6226,37.4114
-105.0845,39.935
-105.2573,39.9941
-105.5002,40.1869
-105.2689,40.0242
-105.1087,40.2001
-105.4391,40.1103
-105.2576,39.977
-105.44,39.61
-106.1286,38.6198
-105.5777,38.1195
-104.8954,39.5531
-104.9123,39.5404
-107.5748,38.8421
-105.0499,39.7603
-108.9951,37.6009
-107.1066,39.4034
-104.859,39.1125
-104.7262,38.872
-104.8426,38.9384
-104.7307,38.8504
-104.8328,38.7748
-105.6417,38.3086
-107.768,39.5502
-106.9908,38.9603
-106.2,40.0911
-105.2811,39.7866
-105.2793,39.6183
-105.2789,39.5795
-105.1371,39.6082
-105.1774,39.8171
-105.1468,39.7564
-105.1367,39.6774
-105.3068,39.6244
-105.0572,39.9055
-106.5781,40.6589
-102.8229,39.4915
-104.1084,37.3369
-104.7734,37.3593
-102.9906,40.5147
